# Type | Modules affected | vulnerability title | version ini | version end | other version | vulnerability description | url reference (url1 uel2 ... url3)
Core||Multiple XSS/CSRF Vulnerability|1.5.9|1.5.9||A series of XSS and CSRF faults exist in the administrator application. Affected administrator components include com_admin, com_media, com_search. Both com_admin and com_search contain XSS vulnerabilities, and com_media contains 2 CSRF vulnerabilities.|
Component|com_yellowpages|Yellowpages Component SQL Injection Vulnerability|x.x.x|x.x.x|Joomla Yellowpages|The Yellowpages component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42326/ http://www.exploit-db.com/exploits/14592/
Component|com_aardvertiser|Aardvertiser Component Insecure Directory Permissions Vulnerability|x.x.x|x.x.x|Aardvertiser < 2.1.1|The Aardvertiser component for Joomla! is prone to a security vulnerability because it sets insecure directory permissions.A local attacker can exploit this issue to obtain sensitive information, manipulate data, or gain escalated privileges.|http://www.securityfocus.com/bid/42239/
Component|com_jigsaw|'com_jigsaw' Component 'controller' Parameter Directory Traversal Vulnerability|x.x.x|x.x.x|com_jigsaw|The 'com_jigsaw' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input.|http://www.securityfocus.com/bid/42144/
Component|controller.php|PBBooking Component 'controller.php' Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|PBBooking 1.0.4_3|The PBBooking component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42067/
Component|com_beamospetition|BeaMosPetition Component for Joomla! 'pet' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_beamospetition|The BeaMosPetition component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42086/
Component|com_simpleshop|Galore Simple Shop Component for Joomla! 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Galore Simple Shop <= 3.5|The Galore Simple Shop component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42073/
Component|com_photomapgallery|PhotoMap Gallery Component Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|PhotoMap Gallery 1.6.0 beta|The PhotoMap Gallery component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42030/
Component|com_ttvideo|'TTVideo' Component SQL Injection Vulnerability|x.x.x|x.x.x|TTVideo 1.0|The 'TTVideo' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41977/ http://www.exploit-db.com/exploits/14481/
Component|com_appointinator|Component Appointinator Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|AjaXplorer <= 2.5.4|The Appointinator component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/42007/ http://www.exploit-db.com/exploits/14488/
Component|com_freichat|FreiChat Component Unspecified HTML Injection Vulnerability|x.x.x|x.x.x|Avinash D'silva FreiChat <= 2.1.1|Joomla! FreiChat component is prone to an HTML-injection vulnerability because it fails to properly sanitize user-supplied input before using it in dynamically generated content.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41961/
Component|com_oziogallery|Ozio Gallery Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla Ozio Gallery|The Ozio Gallery component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41942/
Component|com_youtube|Component 'com_youtube' SQL Injection Vulnerability|x.x.x|x.x.x|Joomla com_youtube 1.5|The 'com_youtube' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41938/ http://www.exploit-db.com/exploits/14467/
Component|com_itarmory|ITArmory Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|In Therapy ITArmory 0.1.4|The ITArmory component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41944/
Component|com_joomdle|'Joomdle' Component 'course_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomdle <= 0.24|The 'Joomdle' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41939/ http://www.exploit-db.com/exploits/14466/
Component|com_golfcourseguide|GolfCourseGuide Component 'index.php' SQL Injection Vulnerability|x.x.x|x.x.x|Oh-Taek Im GolfCourseGuide 0.9.6.0 beta|The GolfCourseGuide 'com_golfcourseguide' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41919/
Component|com_spa|'com_spa' Component 'pid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla com_spa|The 'com_spa' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41828/
Core||Administration Pages Multiple HTML Injection Vulnerabilities|1.5.0|1.5.19||Joomla! is prone to multiple HTML-injection vulnerabilities because the application fails to sufficiently sanitize user-supplied data.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41822/
Component|com_spa|'com_spa' Component 'cid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla com_spa|The 'com_spa' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41778/
Component|com_staticxt|staticXT Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|JoomlaXT! StaticXT|The staticXT component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41765/
Component|?view=videos &view=videos&type=member&user_id=|JomTube Component 'user_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|JomTube|The JomTube component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41888/
Core||HTML Injection and SQL Injection Vulnerabilities|1.5.0|1.5.18||Joomla! is prone to multiple HTML-injection vulnerabilities and an SQL-injection vulnerability because the application fails to sufficiently sanitize user-supplied input.A successful exploit can allow an attacker to steal cookie-based authentication credentials, compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41743/
Component|com_redshop|redSHOP Component Search Form Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|redCOMPONENT redSHOP 1.0.23.1|The redSHOP component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.A successful exploit requires that 'magic_quotes_gpc' is disabled.Exploiting these issues could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41728/
Component|com_easyblog|EasyBlog HTML Injection Vulnerability|x.x.x|x.x.x|Stack Ideas EasyBlog|Joomla! EasyBlog is prone to an unspecified HTML-injection vulnerability because it fails to properly sanitize user-supplied input before using it in dynamically generated content.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41532/
Component|com_health|Health & Fitness Stats Component Multiple HTML Injection Vulnerabilities|x.x.x|x.x.x|Instantiate Web Solutions Health & Fitness Stats|Joomla! Health & Fitness Stats component is prone to multiple HTML-injection vulnerabilities because the application fails to properly sanitize user-supplied input before using it in dynamically generated content.Attacker-supplied HTML and script code would run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41530/
Component|com_qcontacts|QContacts Component Multiple Parameters SQL Injection Vulnerability|x.x.x|x.x.x|Latenight Coding QContacts 1.0.4|The QContacts component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting these issues could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41570/
Component|com_rapidrecipe|Rapid-Recipe Component HTML Injection Vulnerability|x.x.x|x.x.x|Rapid-Source Rapid-Recipe|Joomla! Rapid-Recipe component is prone to an HTML-injection vulnerability because it fails to properly sanitize user-supplied input before using it in dynamically generated content.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41531/
Component|com_redshop|redSHOP Component 'pid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|redSHOP version 1.0|redSHOP component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41533/
Component|com_myhome|MyHome Component 'nidimm' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Unisoft MyHome|MyHome component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41536/
Component|com_mysms|'com_mysms' Component Arbitrary File Upload Vulnerability|x.x.x|x.x.x|Joomla com_mysms|The 'com_mysms' component for Joomla! is prone to a vulnerability that lets attackers upload arbitrary files because the application fails to adequately sanitize user-supplied input.An attacker can exploit this vulnerability to upload arbitrary code and run it in the context of the webserver process. This may facilitate unauthorized access or privilege escalation; other attacks are also possible.|http://www.securityfocus.com/bid/41535/
Component|com_quickfaq|Component for Joomla! 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla QuickFAQ 1.0.3|The QuickFAQ component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue can allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41508/
Component|component/music/album.html|Music Manager Component 'album.html' Local File Include Vulnerability|x.x.x|x.x.x|Daniel James Scott Music Manager|The Music Manager component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41485/
Component|com_artforms|ArtForms Component Multiple Vulnerabilities|x.x.x|x.x.x|Joomla ArtForms 2.1b7.2 RC2|The ArtForms component for Joomla! is prone to multiple SQL-injection vulnerabilities, a cross-site scripting vulnerability, and a directory-traversal vulnerability.Exploiting these issues could allow an attacker to steal cookie-based authentication credentials, compromise the application, access or modify data, exploit latent vulnerabilities in the underlying database, or disclose sensitive information.|http://www.securityfocus.com/bid/41457/
Component|games/gambling/add.html|PaymentsPlus Component 'add.html' SQL Injection Vulnerability|x.x.x|x.x.x|Joomla PaymentsPlus 2.1.5|PaymentsPlus component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41458/
Component|com_neorecruit|NeoRecruit Component for Joomla! 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|NeoJoomla NeoRecruit 1.4 - 1.4.1 - 2.0.5|NeoRecruit is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|http://www.securityfocus.com/bid/41408/
Component|jobs/search_jobs.html|Jobs Pro Component for Joomla! 'search_jobs.html' SQL Injection Vulnerability|x.x.x|x.x.x|Instant Php Jobs Pro 1.3.2|The Jobs Pro component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41403/
Component|com_autartimonial|AutarTimonial Component 'index.php' SQL Injection Vulnerability|x.x.x|x.x.x|Autartica AutarTimonial|The AutarTimonial component 'com_autartimonial' for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41400/
Component|com_jpodium|JPodium Component for Joomla! 'CID' SQL Injection Vulnerability|x.x.x|x.x.x|JPodium 0.9.15|The JPodium component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41409/
Component|com_sef|'com_sef' Component for Joomla! 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_self|The 'com_sef' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41360/
Component|com_jomsocial|SocialAds for JomSocial Component 'Manage Your Ads' HTML Injection Vulnerability|x.x.x|x.x.x|Techjoomla SocialAds For JomSocial 1.0|Joomla! SocialAds for JomSocial component is prone to an HTML-injection vulnerability because it fails to properly sanitize user-supplied input before using it in dynamically generated content.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41354/
Component|com_eventcal|eventCal Component for Joomla! 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Kay Messerschmidt eventCal 1.6.4|eventCal Component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41369/
Component|com_agora|Agora Pantheon 'task' Parameter Local File Include Vulnerability|x.x.x|x.x.x|jVitals Agora Pantheon 2.5.5|The Agora Pantheon component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41463/
Component|com_addressbook|Front-edit Address Book Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|B-Elektro Front-edit Address Book|Front-edit Address Book component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41353/
Component|com_canteen|Miniwork Studio Canteen Component for Joomla! SQL Injection and Local File Include Vulnerabilities|x.x.x|x.x.x|Miniwork Studio Canteen 1.0|The Miniwork Studio Canteen component for Joomla! is prone to an SQL-injection vulnerability and a local file-include vulnerability because it fails to sufficiently sanitize user-supplied data.Attackers can exploit the SQL-injection vulnerability to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.An attacker can exploit the local file-include vulnerability using directory-traversal strings to view and execute arbitrary local files within the context of the webserver process. Information harvested may aid in further attacks.|http://www.securityfocus.com/bid/41358/
Component|com_booklibrary|OrdaSoft BookLibrary Books from same author Component for Joomla! SQL Injection Vulnerability|x.x.x|x.x.x|OrdaSoft BookLibrary Books from same author <= 1.5|The BookLibrary Books from same author component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41350/
Component|plugins/system/mediaobject/js/mediaobject-150.js|Front-End Article Manager System Component Arbitrary File Upload Vulnerability|x.x.x|x.x.x|B-Elektro Front-End Article Manager System|The Front-End Article Manager System component for Joomla! is prone to a vulnerability that lets attackers upload arbitrary files because the application fails to adequately sanitize user-supplied input.An attacker can exploit this vulnerability to upload arbitrary code and run it in the context of the webserver process. This may facilitate unauthorized access or privilege escalation; other attacks are also possible.|http://www.securityfocus.com/bid/41351/
Component|com_seyret|Seyret Video Component 'view' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Joomlaholic Seyret Video|The Seyret Video component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41357/
Component|com_joomdoc|oomDOC Component Information Disclosure Vulnerability|x.x.x|x.x.x|JoomDOC 2.0.2|The JoomDOC component for Joomla! is prone to an information-disclosure vulnerability.Successful exploits may allow attackers to obtain potentially sensitive information that may aid in other attacks.|http://www.securityfocus.com/bid/41317/
Component|com_seyret|Seyret Video Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomlaholic Seyret Video|Seyret Video component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41324/
Component|com_dateconverter|AD/BS Date Converter 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Geeknet Joomla AD/BS Date Converter 0.1|Joomla AD/BS Date Converter component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41292/
Component|com_myblog|'com_myblog' Component Local File Include Vulnerability|x.x.x|x.x.x|Joomla com_myblog|The 'com_myblog' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41277/
Component|com_remository|Remository Component Multiple Local File Include Vulnerabilities|x.x.x|x.x.x|Black Sheep Research Remository|The Remository component for Joomla! is prone to multiple local file-include vulnerabilities because it fails to properly sanitize user-supplied input.An attacker can exploit these vulnerabilities to obtain potentially sensitive information and to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41308/
Component|com_ckforms|CKForms Component SQL Injection and Arbitrary File Upload Vulnerabilities|x.x.x|x.x.x|Cookex Agency CKForms 1.3.4|The CKForms component for Joomla! is prone to multiple SQL-injection vulnerabilities and an arbitrary-file-upload vulnerability because it fails to sanitize user-supplied data.Exploiting these issues could allow an attacker to compromise the application, execute arbitrary code, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41258/
Component|component/joomanager/|Joomanager Joomla Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joommanager|The Joomanager component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41256/
Component|com_wmtpic|Webmaster-Tips.net Flash Gallery for Joomla 'com_wmtpic' SQL Injection Vulnerability|x.x.x|x.x.x|Flash Gallery 1.0|Webmaster-Tips.net Flash Gallery for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41253/
Component|com_booklibrary|BookLibrary Component Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|OrdaSoft BookLibrary Basic 1.5.3|The BookLibrary component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting these issues could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41264/
Component|com_gamesbox|Gamesbox 'com_gamesbox' Component SQL Injection Vulnerability|x.x.x|x.x.x|JOOFORGE Gamesbox <= 1.0.2|The Gamesbox 'com_gamesbox' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41257/
Component|components/je-media-player.html|JE Media Player Component 'view' Parameter Local File Include Vulnerability|x.x.x|x.x.x|JExtensions JE Media player|The JE Media player component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41173/
Component|propertyfinder/component/jesectionfinder/|JE Section/Property Finder Component 'view' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Joomla JE Section/Property Finder|The JE Section/Property Finder component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41163/
Component|component/jeeventcalendar/|JE Event Calendar Component 'view' Parameter Local File Include Vulnerability|x.x.x|x.x.x|JE Event Calendar|The JE Event Calendar component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or to execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/41168/
Component|com_sef|'com_sef' Component Remote File Include Vulnerability|x.x.x|x.x.x|com_self|The 'com_sef' component for Joomla! is prone to a remote file-include vulnerability because it fails to sufficiently sanitize user-supplied input.Exploiting this issue may allow an attacker to compromise the application and the underlying system; other attacks are also possible.|http://www.securityfocus.com/bid/41166/
Component|com_awd_song|'com_awd_song' Component HTML Injection Vulnerability|x.x.x|x.x.x|Joomla JE Awd Song|Joomla! 'com_awd_song' component is prone to an HTML-injection vulnerability because it fails to properly sanitize user-supplied input before using it in dynamically generated content.Successful exploits will allow attacker-supplied HTML and script code to run in the context of the affected browser, potentially allowing the attacker to steal cookie-based authentication credentials or to control how the site is rendered to the user. Other attacks are also possible.|http://www.securityfocus.com/bid/41165/
Component|component/jesubmit/|JE Story Submit Component 'view' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla JE Story Submit 1.4|The JE Story Submit component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/41171/
